date,positivity
2021-01-01,12.4
2021-01-02,12.5
2021-01-03,13.2
2021-01-04,13.5
2021-01-05,14.0
2021-01-06,13.5
2021-01-07,13.5
2021-01-08,13.2
2021-01-09,12.8
2021-01-10,12.7
2021-01-11,12.9
2021-01-12,13.2
2021-01-13,13.2
2021-01-14,13.5
2021-01-15,13.4
2021-01-16,13.6
2021-01-17,13.3
2021-01-18,13.5
2021-01-19,13.3
2021-01-20,13.4
2021-01-21,12.9
2021-01-22,13.0
2021-01-23,12.7
2021-01-24,12.7
2021-01-25,12.4
2021-01-26,12.2
2021-01-27,12.1
2021-01-28,11.8
2021-01-29,11.7
2021-01-30,11.3
2021-01-31,11.6
2021-02-01,12.1
2021-02-02,12.0
2021-02-03,11.6
2021-02-04,11.8
2021-02-05,11.7
2021-02-06,12.1
2021-02-07,11.9
2021-02-08,11.6
2021-02-09,11.6
2021-02-10,11.5
2021-02-11,11.3
2021-02-12,10.8
2021-02-13,10.2
2021-02-14,10.0
2021-02-15,10.6
2021-02-16,10.4
2021-02-17,10.7
2021-02-18,10.6
2021-02-19,10.4
2021-02-20,10.8
2021-02-21,10.4
2021-02-22,9.9
2021-02-23,9.5
2021-02-24,9.1
2021-02-25,8.7
2021-02-26,8.4
2021-02-27,7.8
2021-02-28,7.5
2021-03-01,6.7
2021-03-02,6.2
2021-03-03,5.7
2021-03-04,5.4
2021-03-05,5.3
2021-03-06,5.2
2021-03-07,5.0
2021-03-08,5.0
2021-03-09,5.0
2021-03-10,4.8
2021-03-11,4.5
2021-03-12,4.3
2021-03-13,4.3
2021-03-14,4.5
2021-03-15,4.3
2021-03-16,4.4
2021-03-17,4.4
2021-03-18,4.4
2021-03-19,4.3
2021-03-20,4.2
2021-03-21,4.1
2021-03-22,4.3
2021-03-23,4.2
2021-03-24,4.2
2021-03-25,4.3
2021-03-26,4.4
2021-03-27,4.3
2021-03-28,4.5
2021-03-29,4.4
2021-03-30,4.3
2021-03-31,4.2
2021-04-01,3.9
2021-04-02,3.6
2021-04-03,3.6
2021-04-04,3.5
2021-04-05,3.5
2021-04-06,3.3
2021-04-07,3.1
2021-04-08,3.0
2021-04-09,2.7
2021-04-10,2.5
2021-04-11,2.3
2021-04-12,2.3
2021-04-13,2.3
2021-04-14,2.2
2021-04-15,2.3
2021-04-16,2.3
2021-04-17,2.3
2021-04-18,2.4
2021-04-19,2.3
2021-04-20,2.2
2021-04-21,2.1
2021-04-22,1.8
2021-04-23,1.9
2021-04-24,1.9
2021-04-25,1.9
2021-04-26,2.0
2021-04-27,2.4
2021-04-28,2.7
2021-04-29,2.8
2021-04-30,3.1
2021-05-01,3.5
2021-05-02,3.7
2021-05-03,4.2
2021-05-04,4.4
2021-05-05,5.1
2021-05-06,5.7
2021-05-07,6.3
2021-05-08,6.5
2021-05-09,7.2
2021-05-10,7.8
2021-05-11,8.1
2021-05-12,7.6
2021-05-13,7.3
2021-05-14,7.3
2021-05-15,7.4
2021-05-16,7.3
2021-05-17,6.4
2021-05-18,6.1
2021-05-19,5.9
2021-05-20,6.1
2021-05-21,6.1
2021-05-22,6.2
2021-05-23,6.1
2021-05-24,6.9
2021-05-25,7.7
2021-05-26,8.8
2021-05-27,9.1
2021-05-28,9.0
2021-05-29,9.0
2021-05-30,9.4
2021-05-31,9.8
2021-06-01,10.1
2021-06-02,9.6
2021-06-03,9.8
2021-06-04,10.0
