date,Cases,Recent
2020-09-01,,
2020-09-02,,
2020-09-03,,
2020-09-04,,
2020-09-05,,
2020-09-06,,
2020-09-07,142.0,
2020-09-08,164.0,
2020-09-09,162.0,
2020-09-10,162.0,
2020-09-11,167.0,
2020-09-12,159.0,
2020-09-13,158.0,
2020-09-14,199.0,
2020-09-15,216.0,
2020-09-16,256.0,
2020-09-17,297.0,
2020-09-18,336.0,
2020-09-19,362.0,
2020-09-20,401.0,
2020-09-21,388.0,
2020-09-22,427.0,
2020-09-23,465.0,
2020-09-24,491.0,
2020-09-25,492.0,
2020-09-26,505.0,
2020-09-27,514.0,
2020-09-28,572.0,
2020-09-29,606.0,
2020-09-30,623.0,
2020-10-01,664.0,
2020-10-02,732.0,
2020-10-03,799.0,
2020-10-04,865.0,
2020-10-05,964.0,
2020-10-06,1062.0,
2020-10-07,1133.0,
2020-10-08,1220.0,
2020-10-09,1262.0,
2020-10-10,1301.0,
2020-10-11,1327.0,
2020-10-12,1399.0,
2020-10-13,1429.0,
2020-10-14,1483.0,
2020-10-15,1464.0,
2020-10-16,1513.0,
2020-10-17,1521.0,
2020-10-18,1507.0,
2020-10-19,1613.0,
2020-10-20,1737.0,
2020-10-21,1879.0,
2020-10-22,2004.0,
2020-10-23,2085.0,
2020-10-24,2153.0,
2020-10-25,2243.0,
2020-10-26,2258.0,
2020-10-27,2273.0,
2020-10-28,2205.0,
2020-10-29,2218.0,
2020-10-30,2248.0,
2020-10-31,2233.0,
2020-11-01,2193.0,
2020-11-02,2269.0,
2020-11-03,2188.0,
2020-11-04,2130.0,
2020-11-05,2061.0,
2020-11-06,1990.0,
2020-11-07,1913.0,
2020-11-08,1904.0,
2020-11-09,1758.0,
2020-11-10,1668.0,
2020-11-11,1638.0,
2020-11-12,1540.0,
2020-11-13,1459.0,
2020-11-14,1429.0,
2020-11-15,1353.0,
2020-11-16,1255.0,
2020-11-17,1201.0,
2020-11-18,1097.0,
2020-11-19,1082.0,
2020-11-20,1041.0,
2020-11-21,996.0,
2020-11-22,985.0,
2020-11-23,884.0,
2020-11-24,837.0,
2020-11-25,830.0,
2020-11-26,771.0,
2020-11-27,711.0,
2020-11-28,702.0,
2020-11-29,673.0,
2020-11-30,675.0,
2020-12-01,686.0,
2020-12-02,640.0,
2020-12-03,620.0,
2020-12-04,627.0,
2020-12-05,617.0,
2020-12-06,635.0,
2020-12-07,618.0,
2020-12-08,569.0,
2020-12-09,595.0,
2020-12-10,580.0,
2020-12-11,581.0,
2020-12-12,585.0,
2020-12-13,576.0,
2020-12-14,568.0,
2020-12-15,557.0,
2020-12-16,532.0,
2020-12-17,542.0,
2020-12-18,515.0,
2020-12-19,509.0,
2020-12-20,502.0,
2020-12-21,537.0,
2020-12-22,578.0,
2020-12-23,621.0,
2020-12-24,627.0,
2020-12-25,603.0,
2020-12-26,664.0,
2020-12-27,731.0,
2020-12-28,709.0,
2020-12-29,905.0,
2020-12-30,1025.0,
2020-12-31,1095.0,
2021-01-01,1172.0,
2021-01-02,1337.0,
2021-01-03,1407.0,
2021-01-04,1584.0,
2021-01-05,1545.0,
2021-01-06,1534.0,
2021-01-07,1566.0,
2021-01-08,1648.0,
2021-01-09,1545.0,
2021-01-10,1519.0,
2021-01-11,1489.0,
2021-01-12,1454.0,
2021-01-13,1412.0,
2021-01-14,1414.0,
2021-01-15,1393.0,
2021-01-16,1342.0,
2021-01-17,1280.0,
2021-01-18,1222.0,
2021-01-19,1185.0,
2021-01-20,1174.0,
2021-01-21,1127.0,
2021-01-22,1086.0,
2021-01-23,1054.0,
2021-01-24,1048.0,
2021-01-25,972.0,
2021-01-26,917.0,
2021-01-27,874.0,
2021-01-28,870.0,
2021-01-29,846.0,
2021-01-30,875.0,
2021-01-31,861.0,
2021-02-01,846.0,
2021-02-02,826.0,
2021-02-03,804.0,
2021-02-04,774.0,
2021-02-05,742.0,
2021-02-06,686.0,
2021-02-07,656.0,
2021-02-08,641.0,
2021-02-09,622.0,
2021-02-10,584.0,
2021-02-11,580.0,
2021-02-12,574.0,
2021-02-13,576.0,
2021-02-14,574.0,
2021-02-15,580.0,
2021-02-16,567.0,
2021-02-17,568.0,
2021-02-18,556.0,
2021-02-19,570.0,
2021-02-20,555.0,
2021-02-21,542.0,
2021-02-22,537.0,
2021-02-23,512.0,
2021-02-24,523.0,
2021-02-25,507.0,
2021-02-26,461.0,
2021-02-27,438.0,
2021-02-28,417.0,
2021-03-01,379.0,
2021-03-02,380.0,
2021-03-03,341.0,
2021-03-04,319.0,
2021-03-05,319.0,
2021-03-06,326.0,
2021-03-07,315.0,
2021-03-08,308.0,
2021-03-09,308.0,
2021-03-10,319.0,
2021-03-11,319.0,
2021-03-12,315.0,
2021-03-13,316.0,
2021-03-14,341.0,
2021-03-15,346.0,
2021-03-16,332.0,
2021-03-17,314.0,
2021-03-18,318.0,
2021-03-19,315.0,
2021-03-20,311.0,
2021-03-21,327.0,
