date,Daily deaths,Daily deaths (seven-day average),Baseline,recent values,recent average values
2020-03-09,2.0,,0,,
2020-03-10,1.0,,0,,
2020-03-11,4.0,,0,,
2020-03-12,6.0,5.571428571428571,0,,
2020-03-13,6.0,7.571428571428571,0,,
2020-03-14,11.0,10.714285714285714,0,,
2020-03-15,9.0,13.857142857142858,0,,
2020-03-16,16.0,16.571428571428573,0,,
2020-03-17,23.0,22.142857142857142,0,,
2020-03-18,26.0,27.142857142857142,0,,
2020-03-19,25.0,33.42857142857143,0,,
2020-03-20,45.0,39.142857142857146,0,,
2020-03-21,46.0,48.42857142857143,0,,
2020-03-22,53.0,61.285714285714285,0,,
2020-03-23,56.0,75.28571428571429,0,,
2020-03-24,88.0,86.85714285714286,0,,
2020-03-25,116.0,97.42857142857143,0,,
2020-03-26,123.0,110.0,0,,
2020-03-27,126.0,123.71428571428571,0,,
2020-03-28,120.0,136.57142857142858,0,,
2020-03-29,141.0,147.0,0,,
2020-03-30,152.0,157.28571428571428,0,,
2020-03-31,178.0,166.42857142857142,0,,
2020-04-01,189.0,181.42857142857142,0,,
2020-04-02,195.0,189.28571428571428,0,,
2020-04-03,190.0,195.42857142857142,0,,
2020-04-04,225.0,201.71428571428572,0,,
2020-04-05,196.0,207.85714285714286,0,,
2020-04-06,195.0,208.28571428571428,0,,
2020-04-07,222.0,205.85714285714286,0,,
2020-04-08,232.0,197.42857142857142,0,,
2020-04-09,198.0,193.57142857142858,0,,
2020-04-10,173.0,190.0,0,,
2020-04-11,166.0,178.71428571428572,0,,
2020-04-12,169.0,166.28571428571428,0,,
2020-04-13,170.0,158.0,0,,
2020-04-14,143.0,148.85714285714286,0,,
2020-04-15,145.0,141.71428571428572,0,,
2020-04-16,140.0,134.0,0,,
2020-04-17,109.0,123.57142857142857,0,,
2020-04-18,116.0,117.85714285714286,0,,
2020-04-19,115.0,113.0,0,,
2020-04-20,97.0,104.0,0,,
2020-04-21,103.0,99.14285714285714,0,,
2020-04-22,111.0,91.14285714285714,0,,
2020-04-23,77.0,83.85714285714286,0,,
2020-04-24,75.0,77.57142857142857,0,,
2020-04-25,60.0,71.28571428571429,0,,
2020-04-26,64.0,62.714285714285715,0,,
2020-04-27,53.0,58.0,0,,
2020-04-28,59.0,53.42857142857143,0,,
2020-04-29,51.0,52.42857142857143,0,,
2020-04-30,44.0,49.42857142857143,0,,
2020-05-01,43.0,47.285714285714285,0,,
2020-05-02,53.0,43.57142857142857,0,,
2020-05-03,43.0,42.285714285714285,0,,
2020-05-04,38.0,40.0,0,,
2020-05-05,33.0,38.0,0,,
2020-05-06,42.0,34.0,0,,
2020-05-07,28.0,31.714285714285715,0,,
2020-05-08,29.0,29.571428571428573,0,,
2020-05-09,25.0,27.0,0,,
2020-05-10,27.0,22.714285714285715,0,,
2020-05-11,23.0,21.285714285714285,0,,
2020-05-12,15.0,19.571428571428573,0,,
2020-05-13,12.0,17.428571428571427,0,,
2020-05-14,18.0,15.714285714285714,0,,
2020-05-15,17.0,14.285714285714286,0,,
2020-05-16,10.0,14.857142857142858,0,,
2020-05-17,15.0,15.428571428571429,0,,
2020-05-18,13.0,14.571428571428571,0,,
2020-05-19,19.0,13.285714285714286,0,,
2020-05-20,16.0,12.714285714285714,0,,
2020-05-21,12.0,11.428571428571429,0,,
2020-05-22,8.0,10.857142857142858,0,,
2020-05-23,6.0,9.571428571428571,0,,
2020-05-24,6.0,8.428571428571429,0,,
2020-05-25,9.0,8.0,0,,
2020-05-26,10.0,7.571428571428571,0,,
