,United Kingdom
2020-02-18,
2020-02-19,
2020-02-20,
2020-02-21,
2020-02-22,
2020-02-23,
2020-02-24,-1.8571428571428572
2020-02-25,-2.7142857142857144
2020-02-26,-3.2857142857142856
2020-02-27,-4.142857142857143
2020-02-28,-4.428571428571429
2020-02-29,-4.714285714285714
2020-03-01,-4.428571428571429
2020-03-02,-4.571428571428571
2020-03-03,-5.428571428571429
2020-03-04,-6.0
2020-03-05,-6.571428571428571
2020-03-06,-7.0
2020-03-07,-7.0
2020-03-08,-6.571428571428571
2020-03-09,-8.142857142857142
2020-03-10,-9.0
2020-03-11,-9.714285714285714
2020-03-12,-11.428571428571429
2020-03-13,-14.428571428571429
2020-03-14,-16.857142857142858
2020-03-15,-21.428571428571427
2020-03-16,-26.285714285714285
2020-03-17,-35.57142857142857
2020-03-18,-46.142857142857146
2020-03-19,-55.72571428571428
2020-03-20,-65.42999999999999
2020-03-21,-76.85285714285715
2020-03-22,-86.70857142857143
2020-03-23,-93.5657142857143
2020-03-24,-96.13714285714286
2020-03-25,-97.85142857142857
2020-03-26,-99.12571428571428
2020-03-27,-99.99285714285715
2020-03-28,-99.99857142857142
2020-03-29,-100.0
2020-03-30,-100.0
2020-03-31,-100.0
2020-04-01,-100.0
2020-04-02,-100.0
2020-04-03,-100.0
2020-04-04,-100.0
2020-04-05,-100.0
2020-04-06,-100.0
2020-04-07,-100.0
2020-04-08,-100.0
2020-04-09,-100.0
2020-04-10,-100.0
2020-04-11,-100.0
2020-04-12,-100.0
2020-04-13,-100.0
2020-04-14,-100.0
2020-04-15,-100.0
2020-04-16,-100.0
2020-04-17,-100.0
2020-04-18,-100.0
2020-04-19,-100.0
2020-04-20,-100.0
2020-04-21,-100.0
2020-04-22,-100.0
2020-04-23,-100.0
2020-04-24,-100.0
2020-04-25,-100.0
2020-04-26,-100.0
2020-04-27,-100.0
2020-04-28,-100.0
2020-04-29,-100.0
2020-04-30,-100.0
2020-05-01,-100.0
2020-05-02,-100.0
2020-05-03,-100.0
2020-05-04,-100.0
2020-05-05,-100.0
2020-05-06,-100.0
2020-05-07,-100.0
2020-05-08,-100.0
2020-05-09,-100.0
2020-05-10,-100.0
2020-05-11,-99.92714285714285
2020-05-12,-99.82714285714285
2020-05-13,-99.72999999999999
2020-05-14,-99.57571428571427
2020-05-15,-99.44999999999997
2020-05-16,-99.09285714285713
2020-05-17,-98.93285714285712
2020-05-18,-98.91714285714284
2020-05-19,-98.85285714285713
2020-05-20,-98.80714285714284
2020-05-21,-98.76714285714284
2020-05-22,-98.73142857142855
2020-05-23,-98.80571428571427
2020-05-24,-98.75999999999998
2020-05-25,-98.84285714285713
2020-05-26,-98.86142857142855
2020-05-27,-98.90571428571427
2020-05-28,-98.98857142857142
2020-05-29,-99.00999999999999
2020-05-30,-99.0142857142857
2020-05-31,-99.07714285714285
2020-06-01,-98.93714285714285
2020-06-02,-98.97857142857141
2020-06-03,-98.91857142857141
2020-06-04,-98.79285714285712
2020-06-05,-98.71571428571427
2020-06-06,-98.64857142857143
2020-06-07,-98.61571428571428
2020-06-08,-98.57714285714285
2020-06-09,-98.53285714285714
2020-06-10,-98.55714285714285
2020-06-11,-98.62285714285713
2020-06-12,-98.65999999999998
2020-06-13,-98.74571428571427
2020-06-14,-98.81714285714284
2020-06-15,-98.8985714285714
2020-06-16,-98.94285714285711
2020-06-17,-98.9685714285714
2020-06-18,-98.99428571428568
2020-06-19,-98.99428571428568
2020-06-20,-98.9585714285714
2020-06-21,-98.85714285714282
2020-06-22,-98.85285714285712
2020-06-23,-98.86571428571426
2020-06-24,-98.8242857142857
2020-06-25,-98.84428571428569
2020-06-26,-98.8685714285714
2020-06-27,-98.92571428571425
2020-06-28,-99.0242857142857
2020-06-29,-99.06999999999996
2020-06-30,-99.06714285714283
2020-07-01,-99.10999999999997
2020-07-02,-99.13999999999997
2020-07-03,-99.04714285714283
2020-07-04,-97.61142857142853
2020-07-05,-92.13571428571424
2020-07-06,-87.76714285714282
2020-07-07,-83.70142857142852
2020-07-08,-79.1428571428571
2020-07-09,-74.2328571428571
2020-07-10,-67.49142857142853
2020-07-11,-61.258571428571386
2020-07-12,-58.3228571428571
2020-07-13,-57.67571428571424
2020-07-14,-56.95857142857138
2020-07-15,-55.534285714285666
2020-07-16,-53.9228571428571
2020-07-17,-51.8528571428571
2020-07-18,-49.744285714285674
2020-07-19,-48.542857142857095
2020-07-20,-46.064285714285674
2020-07-21,-43.77857142857139
2020-07-22,-41.66571428571424
2020-07-23,-39.78714285714282
2020-07-24,-38.66857142857139
2020-07-25,-38.2228571428571
2020-07-26,-37.1128571428571
2020-07-27,-36.60571428571425
2020-07-28,-35.48142857142853
2020-07-29,-34.532857142857104
2020-07-30,-32.907142857142816
2020-07-31,-31.544285714285675
