date,Cases,Recent
2020-09-01,,
2020-09-02,,
2020-09-03,,
2020-09-04,,
2020-09-05,,
2020-09-06,,
2020-09-07,102.0,
2020-09-08,124.0,
2020-09-09,142.0,
2020-09-10,147.0,
2020-09-11,158.0,
2020-09-12,165.0,
2020-09-13,167.0,
2020-09-14,187.0,
2020-09-15,185.0,
2020-09-16,195.0,
2020-09-17,205.0,
2020-09-18,229.0,
2020-09-19,264.0,
2020-09-20,314.0,
2020-09-21,350.0,
2020-09-22,372.0,
2020-09-23,412.0,
2020-09-24,454.0,
2020-09-25,494.0,
2020-09-26,515.0,
2020-09-27,516.0,
2020-09-28,560.0,
2020-09-29,593.0,
2020-09-30,653.0,
2020-10-01,722.0,
2020-10-02,782.0,
2020-10-03,835.0,
2020-10-04,887.0,
2020-10-05,907.0,
2020-10-06,1018.0,
2020-10-07,1042.0,
2020-10-08,1089.0,
2020-10-09,1088.0,
2020-10-10,1059.0,
2020-10-11,1046.0,
2020-10-12,1069.0,
2020-10-13,1049.0,
2020-10-14,1065.0,
2020-10-15,1014.0,
2020-10-16,996.0,
2020-10-17,994.0,
2020-10-18,989.0,
2020-10-19,996.0,
2020-10-20,986.0,
2020-10-21,945.0,
2020-10-22,929.0,
2020-10-23,891.0,
2020-10-24,875.0,
2020-10-25,842.0,
2020-10-26,778.0,
2020-10-27,716.0,
2020-10-28,681.0,
2020-10-29,648.0,
2020-10-30,629.0,
2020-10-31,610.0,
2020-11-01,581.0,
2020-11-02,583.0,
2020-11-03,559.0,
2020-11-04,515.0,
2020-11-05,494.0,
2020-11-06,502.0,
2020-11-07,499.0,
2020-11-08,525.0,
2020-11-09,498.0,
2020-11-10,487.0,
2020-11-11,492.0,
2020-11-12,490.0,
2020-11-13,463.0,
2020-11-14,436.0,
2020-11-15,385.0,
2020-11-16,356.0,
2020-11-17,336.0,
2020-11-18,315.0,
2020-11-19,276.0,
2020-11-20,258.0,
2020-11-21,243.0,
2020-11-22,239.0,
2020-11-23,230.0,
2020-11-24,213.0,
2020-11-25,196.0,
2020-11-26,185.0,
2020-11-27,182.0,
2020-11-28,181.0,
2020-11-29,175.0,
2020-11-30,162.0,
2020-12-01,148.0,
2020-12-02,142.0,
2020-12-03,153.0,
2020-12-04,145.0,
2020-12-05,142.0,
2020-12-06,150.0,
2020-12-07,146.0,
2020-12-08,147.0,
2020-12-09,151.0,
2020-12-10,147.0,
2020-12-11,150.0,
2020-12-12,152.0,
2020-12-13,151.0,
2020-12-14,167.0,
2020-12-15,176.0,
2020-12-16,185.0,
2020-12-17,184.0,
2020-12-18,202.0,
2020-12-19,216.0,
2020-12-20,229.0,
2020-12-21,235.0,
2020-12-22,269.0,
2020-12-23,292.0,
2020-12-24,315.0,
2020-12-25,279.0,
2020-12-26,285.0,
2020-12-27,355.0,
2020-12-28,381.0,
2020-12-29,517.0,
2020-12-30,686.0,
2020-12-31,809.0,
2021-01-01,902.0,
2021-01-02,1202.0,
2021-01-03,1400.0,
2021-01-04,1689.0,
2021-01-05,1836.0,
2021-01-06,1911.0,
2021-01-07,2035.0,
2021-01-08,2214.0,
2021-01-09,2121.0,
2021-01-10,2066.0,
2021-01-11,2009.0,
2021-01-12,1928.0,
2021-01-13,1861.0,
2021-01-14,1776.0,
2021-01-15,1709.0,
2021-01-16,1662.0,
2021-01-17,1607.0,
2021-01-18,1528.0,
2021-01-19,1446.0,
2021-01-20,1388.0,
2021-01-21,1355.0,
2021-01-22,1329.0,
2021-01-23,1241.0,
2021-01-24,1174.0,
2021-01-25,1091.0,
2021-01-26,1032.0,
2021-01-27,996.0,
2021-01-28,926.0,
2021-01-29,835.0,
2021-01-30,784.0,
2021-01-31,737.0,
2021-02-01,685.0,
2021-02-02,659.0,
2021-02-03,591.0,
2021-02-04,553.0,
2021-02-05,538.0,
2021-02-06,535.0,
2021-02-07,526.0,
2021-02-08,505.0,
2021-02-09,469.0,
2021-02-10,450.0,450.0
2021-02-11,,442.0
2021-02-12,,421.0
2021-02-13,,400.0
2021-02-14,,372.0
2021-02-15,,317.0
