,Cumulative doses,Extrapolated doses
2021-01-10,2286572.0,
2021-01-11,2431648.0,
2021-01-12,2639309.0,
2021-01-13,2918252.0,
2021-01-14,3234946.0,
2021-01-15,3559179.0,
2021-01-16,3837094.0,
2021-01-17,4062501.0,
2021-01-18,4266577.0,
2021-01-19,4609740.0,
2021-01-20,4973248.0,
2021-01-21,5383103.0,
2021-01-22,5861351.0,
2021-01-23,6353321.0,
2021-01-24,6573570.0,
2021-01-25,6853327.0,
2021-01-26,7164387.0,
2021-01-27,7476765.0,
2021-01-28,7891184.0,
2021-01-29,8378940.0,
2021-01-30,8977329.0,
2021-01-31,9296367.0,
2021-02-01,9646715.0,
2021-02-02,10021471.0,10021471.0
2021-02-03,,10429625.857142856
2021-02-04,,10837780.714285715
2021-02-05,,11245935.57142857
2021-02-06,,11654090.42857143
2021-02-07,,12062245.285714285
2021-02-08,,12470400.142857142
2021-02-09,,12878555.0
2021-02-10,,13286709.857142858
2021-02-11,,13694864.714285715
2021-02-12,,14103019.57142857
2021-02-13,,14511174.42857143
2021-02-14,,14919329.285714285
2021-02-15,,15327484.142857142
2021-02-16,,15735639.0
2021-02-17,,16143793.857142858
2021-02-18,,16551948.714285715
2021-02-19,,16960103.57142857
2021-02-20,,17368258.42857143
2021-02-21,,17776413.285714287
2021-02-22,,18184568.14285714
2021-02-23,,18592723.0
2021-02-24,,19000877.85714286
2021-02-25,,19409032.714285716
2021-02-26,,19817187.57142857
2021-02-27,,20225342.42857143
