date,Cases,Recent
2020-09-01,,
2020-09-02,,
2020-09-03,,
2020-09-04,,
2020-09-05,,
2020-09-06,,
2020-09-07,945.0,
2020-09-08,1062.0,
2020-09-09,1195.0,
2020-09-10,1311.0,
2020-09-11,1375.0,
2020-09-12,1461.0,
2020-09-13,1517.0,
2020-09-14,1589.0,
2020-09-15,1676.0,
2020-09-16,1803.0,
2020-09-17,1992.0,
2020-09-18,2190.0,
2020-09-19,2368.0,
2020-09-20,2640.0,
2020-09-21,2841.0,
2020-09-22,3119.0,
2020-09-23,3403.0,
2020-09-24,3596.0,
2020-09-25,3877.0,
2020-09-26,4082.0,
2020-09-27,4271.0,
2020-09-28,4728.0,
2020-09-29,5096.0,
2020-09-30,5538.0,
2020-10-01,6008.0,
2020-10-02,6323.0,
2020-10-03,6637.0,
2020-10-04,6949.0,
2020-10-05,7294.0,
2020-10-06,7800.0,
2020-10-07,8101.0,
2020-10-08,8418.0,
2020-10-09,8515.0,
2020-10-10,8411.0,
2020-10-11,8272.0,
2020-10-12,8314.0,
2020-10-13,8035.0,
2020-10-14,7749.0,
2020-10-15,7393.0,
2020-10-16,7218.0,
2020-10-17,7244.0,
2020-10-18,7178.0,
2020-10-19,7269.0,
2020-10-20,7225.0,
2020-10-21,7168.0,
2020-10-22,7032.0,
2020-10-23,6879.0,
2020-10-24,6660.0,
2020-10-25,6472.0,
2020-10-26,6034.0,
2020-10-27,5766.0,
2020-10-28,5462.0,
2020-10-29,5247.0,
2020-10-30,5136.0,
2020-10-31,4957.0,
2020-11-01,4814.0,
2020-11-02,4743.0,
2020-11-03,4553.0,
2020-11-04,4392.0,
2020-11-05,4230.0,
2020-11-06,4214.0,
2020-11-07,4197.0,
2020-11-08,4345.0,
2020-11-09,4215.0,
2020-11-10,4195.0,
2020-11-11,4189.0,
2020-11-12,4186.0,
2020-11-13,4079.0,
2020-11-14,4028.0,
2020-11-15,3795.0,
2020-11-16,3533.0,
2020-11-17,3403.0,
2020-11-18,3180.0,
2020-11-19,2927.0,
2020-11-20,2674.0,
2020-11-21,2490.0,
2020-11-22,2308.0,
2020-11-23,2133.0,
2020-11-24,1885.0,
2020-11-25,1786.0,
2020-11-26,1692.0,
2020-11-27,1603.0,
2020-11-28,1565.0,
2020-11-29,1573.0,
2020-11-30,1503.0,
2020-12-01,1445.0,
2020-12-02,1357.0,
2020-12-03,1365.0,
2020-12-04,1385.0,
2020-12-05,1359.0,
2020-12-06,1369.0,
2020-12-07,1348.0,
2020-12-08,1354.0,
2020-12-09,1378.0,
2020-12-10,1391.0,
2020-12-11,1425.0,
2020-12-12,1479.0,
2020-12-13,1473.0,
2020-12-14,1592.0,
2020-12-15,1737.0,
2020-12-16,1890.0,
2020-12-17,2007.0,
2020-12-18,2133.0,
2020-12-19,2299.0,
2020-12-20,2497.0,
2020-12-21,2698.0,
2020-12-22,2898.0,
2020-12-23,3103.0,
2020-12-24,3259.0,
2020-12-25,3037.0,
2020-12-26,3238.0,
2020-12-27,3700.0,
2020-12-28,4019.0,
2020-12-29,5349.0,
2020-12-30,6626.0,
2020-12-31,7794.0,
2021-01-01,8403.0,
2021-01-02,10334.0,
2021-01-03,11974.0,
2021-01-04,13982.0,
2021-01-05,14902.0,
2021-01-06,15446.0,
2021-01-07,15944.0,
2021-01-08,17247.0,
2021-01-09,16557.0,
2021-01-10,15975.0,
2021-01-11,15698.0,
2021-01-12,15065.0,
2021-01-13,14513.0,
2021-01-14,14021.0,
2021-01-15,13471.0,
2021-01-16,13001.0,
2021-01-17,12385.0,
2021-01-18,11511.0,
2021-01-19,10922.0,
2021-01-20,10396.0,
2021-01-21,9982.0,
2021-01-22,9580.0,
2021-01-23,9061.0,
2021-01-24,8557.0,
2021-01-25,7958.0,
2021-01-26,7303.0,
2021-01-27,6905.0,
2021-01-28,6481.0,
2021-01-29,6093.0,
2021-01-30,5840.0,
2021-01-31,5643.0,
2021-02-01,5182.0,
2021-02-02,5040.0,
2021-02-03,4849.0,
2021-02-04,4651.0,
2021-02-05,4477.0,
2021-02-06,4405.0,
2021-02-07,4284.0,
2021-02-08,4169.0,
2021-02-09,3881.0,
2021-02-10,3593.0,
2021-02-11,3365.0,
2021-02-12,3214.0,
2021-02-13,3032.0,
2021-02-14,2886.0,
2021-02-15,2767.0,
2021-02-16,2674.0,
2021-02-17,2577.0,
2021-02-18,2498.0,
2021-02-19,2380.0,
2021-02-20,2317.0,2317.0
2021-02-21,,2236.0
2021-02-22,,2123.0
2021-02-23,,1984.0
2021-02-24,,1834.0
2021-02-25,,1548.0
