date,England,Northern Ireland,Scotland,Wales
2020-09-01,16.076547461853554,22.760073444803126,15.338714696245859,10.688643617468353
2020-09-02,18.7112606772286,23.763417749794446,17.059286511815206,12.306212829607478
2020-09-03,21.093695216552906,25.24203040978166,18.981201837717133,14.684991082753253
2020-09-04,23.239840573378974,27.618372184761103,20.170958944227845,17.761544290155122
2020-09-05,25.277612696126905,30.10032914973963,20.958029030073398,20.425775933678395
2020-09-06,27.199905143217805,33.638438014709024,21.909834715281974,23.12172462057694
2020-09-07,31.113777842793823,34.588974724700805,22.349129646916698,26.769184608733795
2020-09-08,33.01652757554276,34.113706369704914,20.591949920377793,29.49685033900762
2020-09-09,33.42870118711863,34.53616712970126,21.159372540405982,31.49502407165007
2020-09-10,34.20152670882338,33.1103620647136,21.690187249464607,33.42976371754197
2020-09-11,34.666998632240954,30.10032914973963,22.532169201764503,33.302895544040865
2020-09-12,34.70430745053015,30.945250669732324,23.941573774092582,33.683500064544184
2020-09-13,34.0824938123769,30.36436712473735,24.38086870572731,34.730162495928326
2020-09-14,33.076932328963366,32.84632408971588,24.72864385993813,35.74510788393719
2020-09-15,33.146220134357584,35.539511434692585,27.19967785038347,36.411165794818004
2020-09-16,34.73095660645101,37.334969664677054,28.243003313015944,37.96530092020658
2020-09-17,36.21797950683463,42.0348456196364,28.86533779949847,40.344079173352355
2020-09-18,38.73721304655265,47.051567144593,29.853751395676607,43.547500554255336
2020-09-19,42.23358230336863,49.955984869567885,30.256438416341773,47.987886626794115
2020-09-20,47.410624993593096,51.69863550455281,32.85560009518057,50.77898644381849
2020-09-21,50.610300314490246,52.5435570245455,37.761060165101675,54.64846573560229
2020-09-22,54.72848320945947,55.87043550951672,42.50178463565977,61.46763006128685
2020-09-23,58.53575928535207,60.46469627447698,47.846539637215606,66.89124447845921
2020-09-24,62.7143469337419,66.48476210442492,56.1016235608515,68.63568186409944
2020-09-25,65.850064280429,70.4981393243902,61.72093789467904,73.04435089326296
2020-09-26,68.47056461264626,76.14855198934131,65.40003294711988,76.94554722842203
2020-09-27,70.95959577565397,83.91126845427416,66.13219116651108,79.00715504781503
2020-09-28,77.85639732797085,92.41329124920063,69.24386359892372,82.59118094922133
2020-09-29,83.83824452700512,103.97815455410058,72.24571229842769,85.35056372287043
2020-09-30,92.07105709615412,126.36857483390692,76.29088646056412,92.4234643955572
2020-10-01,100.97898161529808,136.877286238816,77.40742774513572,102.28746488526836
2020-10-02,110.81784998127719,160.85193436860865,81.81868101696777,109.1383462543282
2020-10-03,118.01312207990763,179.5458229984469,86.66922922043453,112.78580624248505
2020-10-04,124.77845446301498,197.65882808329025,93.71625208207493,122.20576812494231
2020-10-05,134.4751939974162,219.5739800081007,102.41063093734556,130.99138913989407
2020-10-06,144.37091389602648,241.38351674291206,112.14833525524865,140.66508736935353
2020-10-07,152.67834410175388,261.92567119773435,120.54985082276279,148.59434821317276
2020-10-08,159.71727448564863,288.32946869750594,127.7616092837662,154.93775688822817
2020-10-09,162.2631571812875,295.82814718744106,132.83180495305035,160.67854173915333
2020-10-10,163.06440846930784,305.2278990973598,137.27966613585195,163.8819631200563
2020-10-11,162.7463952086523,316.73995480726023,141.2333205205645,164.2625676405596
2020-10-12,166.57676721967633,337.6517624270793,146.0655647685465,166.76821406720651
2020-10-13,168.61098612163482,352.59631181195005,150.29377848553074,172.50899891813165
2020-10-14,170.82819589424983,354.2861548519354,151.06254461589148,174.19000221702134
2020-10-15,170.79088707596063,361.04552701187697,153.31393114051946,173.04818865551138
2020-10-16,173.52686708383493,367.91051436181755,156.20595610711473,178.44008602930847
2020-10-17,177.42830351064788,370.1284333517984,154.70503175736278,181.2629028897081
2020-10-18,181.34039959982917,368.0161295518167,152.28890963337176,184.11743679348302
2020-10-19,191.84194364304017,364.4780206868473,152.23399776691744,194.55234406394916
2020-10-20,202.3257215823039,363.3690611918569,157.02963410392988,203.59170142590315
2020-10-21,211.28872102368436,366.00944094183404,162.2828693280618,215.0732711277534
2020-10-22,219.03829556546853,364.37240549684816,166.10839602438088,223.4782876222018
2020-10-23,225.35947534989498,359.77814473188795,166.7307305108634,231.24896324914468
2020-10-24,227.4363329013268,354.39177004193454,168.4879102374023,241.30326599910745
2020-10-25,229.76724573920416,348.47731940198565,170.53795325169767,248.40788371516953
2020-10-26,230.92204249577446,340.60898774705373,170.28169787491075,262.5219680171678
2020-10-27,229.40659382907523,327.77674216216474,163.43601852360294,270.16577547060956
2020-10-28,227.1698413421183,308.8188155573287,157.7251844123515,273.05202641775975
2020-10-29,227.83074040895545,288.48789148250455,150.34869035198506,289.7669082765307
2020-10-30,230.56672041682978,278.2960256475927,147.01737045375506,291.1624581850429
2020-10-31,232.03420060287144,266.36150917769595,143.1003239800121,286.5317698522525
2020-11-01,232.39840573378973,254.9022610627951,143.70435451100983,286.7855061992547
2020-11-02,241.57282181214225,244.60478003788415,146.1387805904856,282.15481786646427
2020-11-03,244.80447612014441,235.78591167296045,147.67631285120714,274.4158592828967
2020-11-04,245.62882334329615,227.17827368803492,148.31695129317444,266.0742768751988
2020-11-05,247.21355981538957,220.20767114809522,151.95943843464573,248.12243032479205
2020-11-06,249.3028536395845,209.48772936318795,152.67329269855216,236.57742653619118
2020-11-07,253.34997211876475,206.47769644821395,154.5769040689693,227.8869566513653
2020-11-08,261.5081670513354,204.3125850532327,152.8197243424304,219.8942617207955
2020-11-09,261.82618031199087,201.72501289825507,149.47010048871562,207.23916141405996
2020-11-10,265.6476692710413,204.04854707823495,147.56648911829845,198.6438426593599
2020-11-11,272.66705694059414,204.89346859822768,146.59637947760513,191.06346929266869
2020-11-12,274.58224294610613,204.36539264823227,144.72937601815752,183.29279366572584
2020-11-13,276.0497231321478,203.6788939132382,143.24675562389032,182.72188688497084
2020-11-14,275.0192891032081,201.72501289825507,144.52803250782495,183.45137888260223
2020-11-15,268.3694363957578,199.13744074327747,143.41149122325334,181.2946199330834
2020-11-16,260.6074255812105,195.59933187830808,143.1003239800121,180.7237131523284
2020-11-17,253.27535448218637,188.94557490836561,141.8922629180166,183.16592549222472
2020-11-18,241.86240930648216,180.0210913534428,139.45783683854083,187.35257521776128
2020-11-19,230.41748514367296,169.35395716353509,135.5773982757674,192.0466976373023
2020-11-20,218.03806391323914,163.9675824735817,131.9715190452657,194.48890997719863
2020-11-21,208.40883557383742,157.26101790863967,129.15270990060952,196.13819623271303
2020-11-22,200.97905090310348,152.0330660036849,127.17588270825324,198.96101309311268
2020-11-23,187.6242705659664,141.2603166237781,125.03431991653397,200.1662607413732
2020-11-24,176.4262952480238,129.00895458388408,120.78780224406495,201.84726404026287
2020-11-25,168.8135197066333,127.84718749389411,117.40157047938061,212.94822922160984
2020-11-26,163.08572779404452,127.2134963538996,114.1434664030897,220.52860258830106
2020-11-27,158.802320132366,125.10119255391787,111.8371680120074,223.66858988245346
2020-11-28,156.29374625501632,127.74157230389504,108.3228085589296,228.8701849959989
2020-11-29,154.28617650897868,126.79103559390325,105.52230336975822,236.76772879644287
2020-11-30,152.1773399704418,133.60321534884434,102.08115973861952,251.80160735632415
2020-12-01,151.27304527952754,136.7188634538174,100.96461845404791,268.23103582471765
2020-12-02,150.44692144598108,136.40201788382012,101.29408965277396,277.96816814092773
2020-12-03,150.88929743426723,144.79842548874748,101.34900151922831,298.48909520473194
2020-12-04,151.9712531646539,150.13199258370136,99.6833415701133,319.5174949625406
2020-12-05,153.628830662931,152.93079511867714,101.42221734116742,341.37053784810644
2020-12-06,157.11454025737862,158.845245758626,103.05126937931287,364.55569655543394
2020-12-07,161.321553672084,156.94417233864243,102.77671004704116,396.46304219096265
