,Excess Deaths,Deaths with COVID-19 on the Death Certificate
2020-03-27,103,14
2020-04-03,1156,114
2020-04-10,1808,316
2020-04-17,2001,404
2020-04-24,1946,410
2020-05-01,1594,241
2020-05-08,945,153
2020-05-15,1169,142
2020-05-22,925,103
2020-05-29,591,65
2020-06-05,899,74
2020-06-12,738,47
2020-06-19,587,49
2020-06-26,633,29
2020-07-03,592,35
2020-07-10,526,35
2020-07-17,572,30
2020-07-24,553,24
2020-07-31,553,14
2020-08-07,569,11
2020-08-14,616,11
2020-08-21,652,15
2020-08-28,549,9
2020-09-04,350,6
2020-09-11,680,7
2020-09-18,549,8
2020-09-25,572,10
2020-10-02,554,18
2020-10-09,561,26
2020-10-16,640,30
2020-10-23,753,44
2020-10-30,621,77
2020-11-06,886,79
2020-11-13,870,115
2020-11-20,844,136
2020-11-27,773,182
2020-12-04,512,122
2020-12-11,588,112
2020-12-18,687,142
2020-12-25,969,113
2021-01-01,660,139
2021-01-08,1034,271
2021-01-15,969,407
2021-01-22,1048,493
2021-01-29,1016,506
2021-02-05,1170,461
2021-02-12,1129,408
2021-02-19,961,269
2021-02-26,965,235
2021-03-05,570,191
2021-03-12,628,137
2021-03-19,573,92
2021-03-26,404,70
2021-04-02,300,48
2021-04-09,344,48
2021-04-16,467,62
2021-04-23,527,37
2021-04-30,470,37
