,Excess Deaths,Deaths with COVID-19 on the Death Certificate
2020-03-27,104,14
2020-04-03,1155,114
2020-04-10,1808,316
2020-04-17,2001,404
2020-04-24,1946,410
2020-05-01,1594,241
2020-05-08,944,153
2020-05-15,1169,142
2020-05-22,924,103
2020-05-29,591,65
2020-06-05,898,74
2020-06-12,738,47
2020-06-19,587,49
2020-06-26,633,29
2020-07-03,592,35
2020-07-10,526,35
2020-07-17,570,30
2020-07-24,553,24
2020-07-31,553,14
2020-08-07,569,11
2020-08-14,616,11
2020-08-21,652,15
2020-08-28,548,9
2020-09-04,350,6
2020-09-11,680,7
2020-09-18,549,8
2020-09-25,572,10
2020-10-02,554,18
2020-10-09,561,26
2020-10-16,640,30
2020-10-23,753,44
2020-10-30,620,77
2020-11-06,886,79
2020-11-13,869,115
2020-11-20,843,135
2020-11-27,773,182
2020-12-04,510,122
2020-12-11,587,112
2020-12-18,687,142
2020-12-25,969,113
2021-01-01,661,139
2021-01-08,1034,271
2021-01-15,969,407
2021-01-22,1047,492
2021-01-29,1016,506
2021-02-05,1169,461
2021-02-12,1127,408
2021-02-19,960,268
2021-02-26,964,235
2021-03-05,570,191
2021-03-12,626,137
2021-03-19,572,92
2021-03-26,403,70
2021-04-02,299,49
2021-04-09,340,48
2021-04-16,466,66
2021-04-23,522,41
2021-04-30,470,41
2021-05-07,198,23
2021-05-14,470,28
2021-05-21,500,21
2021-05-28,399,24
2021-06-04,249,23
2021-06-11,661,10
2021-06-18,508,14
2021-06-25,349,21
2021-07-02,335,12
2021-07-09,649,25
2021-07-16,605,22
2021-07-23,460,23
2021-07-30,579,35
2021-08-06,538,39
2021-08-13,631,57
2021-08-20,498,45
2021-08-27,492,51
2021-09-03,402,41
2021-09-10,676,50
2021-09-17,561,74
2021-09-24,586,67
2021-10-01,550,77
2021-10-08,567,65
2021-10-15,692,39
2021-10-22,539,62
2021-10-29,449,56
2021-11-05,683,65
2021-11-12,766,96
2021-11-19,682,83
