date,under 65,65 to 84,85+
2020-11-01,26.42812303829253,32.743061467733696,28.339678861115708
2020-11-02,26.33844498251278,32.93887280776435,29.183909948683993
2020-11-03,26.042507398439604,33.62846926613315,29.548088064889917
2020-11-04,26.455026455026452,34.088200238379024,30.292997848038404
2020-11-05,26.23083131557708,33.934956580963735,31.20344313855322
2020-11-06,26.53573670522823,34.2159032862251,31.716603211388843
2020-11-07,27.118644067796613,34.24144389579431,31.96490647243834
2020-11-08,27.66568020805309,35.14387876723991,32.82569111074326
2020-11-09,28.051295847906015,36.16550315000852,33.7030292997848
2020-11-10,29.055690072639226,37.34037119019241,35.25906306902831
2020-11-11,29.782082324455207,38.46415801123787,36.93097169342824
2020-11-12,31.04654291094969,39.647539587944834,37.460685317000504
2020-11-13,31.826741996233523,40.84794823769794,37.64277437510346
2020-11-14,32.02403371894898,41.367273965605314,37.64277437510346
2020-11-15,32.17648641377455,41.333219819513026,37.32825691110743
2020-11-16,32.06887274683885,41.67376128043589,37.2620427081609
2020-11-17,31.997130302215048,41.44389579431296,36.46747227280252
2020-11-18,31.85364541296745,41.12038140643623,35.408045025658005
2020-11-19,31.29764146713299,40.379703728928995,35.209402416818406
2020-11-20,30.768540938032462,39.72416141665248,35.90465154775699
2020-11-21,30.284279436821812,38.98348373914524,36.03707995365006
2020-11-22,30.060084297372434,37.91929167376128,36.30193676543619
2020-11-23,30.113891130840283,36.74442363357739,35.5570269822877
2020-11-24,29.522015962693928,35.69725864123957,35.11008111239861
2020-11-25,28.894269572235675,35.05022986548612,34.977652706505545
2020-11-26,27.97058559770424,33.86684828877916,34.28240357556696
2020-11-27,27.378710429557884,32.72603439468755,33.27263698063235
2020-11-28,26.41915523271455,31.968329644134176,33.421618937262046
2020-11-29,25.827280064568196,31.61076111016516,33.25608342989572
2020-11-30,24.778046811945114,31.048867699642432,33.50438669094521
2020-12-01,24.706304367321316,30.725353311765705,33.83545770567787
2020-12-02,24.177203838220787,30.01021624382769,33.62026154610164
2020-12-03,24.580755089229665,30.606163800442705,34.03410031451747
2020-12-04,24.894628284458797,30.94670526136557,35.3087237212382
2020-12-05,25.3968253968254,31.423463306657585,35.242509518291676
2020-12-06,25.468567841449197,31.925761961518813,35.72256248965403
2020-12-07,26.159088870953276,32.67495317554913,37.12961430226783
2020-12-08,26.822706483723433,33.739145240933084,38.453898361198476
2020-12-09,27.68361581920904,34.471309381917244,40.274788942228106
2020-12-10,28.13200609810779,34.91401328111697,41.69839430557854
2020-12-11,28.876333961079723,35.73982632385493,42.691607349776525
2020-12-12,29.84485696350103,37.084965094500255,45.12497930806158
2020-12-13,30.894090216124116,37.77456155286906,46.23406720741599
2020-12-14,31.710160523719846,38.736591179976166,47.3431551067704
2020-12-15,32.10474396915075,39.63902605142176,48.203939745075324
2020-12-16,32.759393776342925,41.0097054316363,48.40258235391491
2020-12-17,34.15837144650704,42.28673591009705,49.13093858632677
2020-12-18,35.19863689355215,43.197684318065726,49.164045687800034
2020-12-19,36.76800286969779,43.88728077643453,48.66743916570105
2020-12-20,38.803694735898134,44.92593223224928,49.51167025326932
2020-12-21,40.88422562998834,46.024178443725525,49.79308061579208
2020-12-22,43.39521119182137,47.36080367784778,50.38900844231087
2020-12-23,44.865931306609276,47.49702026221693,50.15725873199801
2020-12-24,45.26051475204017,47.071343436063344,48.76676047012084
2020-12-25,46.82988072818581,47.735399284862936,48.91574242675053
2020-12-26,48.89247601112009,49.13161927464669,50.19036583347128
2020-12-27,51.78010940722806,50.979056700153244,51.01804337030293
2020-12-28,54.62290377544615,53.1585220500596,52.4085416321801
2020-12-29,57.402923504618414,55.17623020602759,54.2128786624731
2020-12-30,61.133530625056046,57.5429933594415,57.22562489654031
2020-12-31,63.9583893821182,60.182189681593734,59.178943883463
2021-01-01,67.25854183481302,64.36233611442194,62.771064393312365
2021-01-02,70.06546498071921,67.78477779669676,65.20443635159742
2021-01-03,72.59438615370819,70.69640728758726,67.88611157093196
2021-01-04,75.28472782710071,73.56546909586243,70.84919715278927
2021-01-05,78.0916509730069,76.604801634599,73.56397947359709
2021-01-06,81.66980539861895,81.3298144049038,76.46085085250786
2021-01-07,85.82189938122141,85.85901583517794,81.89041549412347
2021-01-08,87.4450721908349,87.71496679720757,84.19135904651547
2021-01-09,89.08618061160435,89.81781031840627,86.558516801854
2021-01-10,88.31494933189848,91.37578750212838,88.59460354245986
2021-01-11,89.34624697336562,92.57619615188149,89.43883463002814
2021-01-12,90.65554658774997,94.0490379703729,91.45836781989738
2021-01-13,89.83947628015424,93.96390260514218,90.99486839927165
2021-01-14,89.63321675186081,93.16363017197344,90.10097665949345
