Date,North East,North West,Yorkshire and The Humber,East Midlands,West Midlands,East of England,London,South East,South West
2020-09-01,,,,,,,,,
2020-09-02,,,,,,,,,
2020-09-03,,,,,,,,,
2020-09-04,6.59,8.67,6.27,4.32,6.05,2.05,3.65,2.04,1.93
2020-09-05,7.15,9.46,6.58,4.77,6.47,2.15,3.69,2.14,1.87
2020-09-06,7.73,9.8,6.63,4.79,6.57,2.05,3.71,2.09,1.73
2020-09-07,7.9,10.35,6.96,4.71,6.62,2.08,3.78,2.08,1.57
2020-09-08,8.03,10.82,7.17,4.82,6.44,2.1,3.74,1.97,1.48
2020-09-09,7.61,11.24,7.17,4.75,6.4,2.07,3.68,1.94,1.43
2020-09-10,7.46,11.32,7.15,4.71,6.15,2.02,3.53,1.75,1.38
2020-09-11,7.42,11.49,6.79,4.29,5.76,1.99,3.27,1.67,1.33
2020-09-12,7.63,11.9,6.89,3.98,5.59,1.95,3.15,1.59,1.36
2020-09-13,8.13,13.09,7.29,3.95,5.76,1.99,3.07,1.56,1.35
2020-09-14,8.84,14.05,7.57,4.09,6.05,1.94,2.97,1.48,1.41
2020-09-15,10.25,15.07,8.02,4.21,6.59,2.12,3.05,1.54,1.49
2020-09-16,11.74,16.53,8.65,4.52,7.28,2.26,3.23,1.59,1.65
2020-09-17,14.14,18.38,9.61,4.94,8.2,2.51,3.7,1.77,1.87
2020-09-18,16.36,19.21,10.2,5.21,8.98,2.56,3.91,1.89,2.06
2020-09-19,17.89,20.97,10.97,5.4,9.58,2.71,4.31,2.09,2.22
2020-09-20,19.56,22.35,11.44,5.56,10.13,2.83,4.89,2.25,2.47
2020-09-21,21.43,23.91,12.36,5.8,10.57,3.02,5.33,2.45,2.73
2020-09-22,22.21,25.51,12.99,6.0,10.62,3.04,5.67,2.63,2.96
2020-09-23,24.05,26.5,13.68,6.22,10.59,3.08,6.0,2.7,2.97
2020-09-24,24.43,27.83,14.61,6.61,10.34,3.19,6.19,2.84,2.91
2020-09-25,26.34,30.77,16.78,7.41,10.45,3.52,6.69,3.06,3.33
2020-09-26,29.0,33.11,18.51,8.4,10.79,3.79,6.97,3.2,3.63
2020-09-27,30.73,35.97,21.26,10.09,11.4,4.17,7.5,3.56,4.2
2020-09-28,33.2,38.66,24.41,12.2,11.87,4.47,8.25,3.92,4.66
2020-09-29,36.45,41.01,28.05,14.78,12.69,4.92,8.93,4.41,5.17
2020-09-30,38.52,42.82,30.22,16.83,13.11,5.36,9.32,4.92,5.85
2020-10-01,41.4,44.1,31.92,19.08,13.57,5.71,9.78,5.38,6.64
2020-10-02,43.57,46.71,34.04,22.06,14.69,6.21,10.65,5.96,7.47
2020-10-03,45.69,49.37,36.72,24.71,15.8,6.74,11.39,6.47,8.44
2020-10-04,48.41,50.8,38.98,27.16,16.47,7.15,12.05,7.12,9.45
2020-10-05,49.46,52.13,39.73,29.79,17.39,7.65,12.71,7.82,10.59
2020-10-06,49.26,52.74,38.85,30.49,17.99,7.99,13.2,8.04,11.46
2020-10-07,47.53,52.72,39.52,30.81,18.42,7.93,13.33,8.07,11.87
2020-10-08,46.11,52.78,39.38,30.65,18.97,7.97,13.21,7.95,11.98
2020-10-09,46.17,53.6,40.62,31.23,19.79,8.36,13.66,8.14,12.21
2020-10-10,45.39,53.11,40.92,31.45,20.44,8.74,14.07,8.66,12.97
2020-10-11,44.94,53.32,41.22,31.73,21.3,9.06,14.42,8.92,13.11
2020-10-12,43.82,53.12,41.38,30.24,22.07,9.67,14.81,8.94,12.69
2020-10-13,43.29,53.42,42.84,29.81,23.1,9.89,15.29,9.22,12.75
2020-10-14,43.11,54.68,44.01,30.05,23.85,10.3,15.67,9.58,12.96
2020-10-15,42.54,55.22,45.56,29.98,24.51,10.78,16.55,10.01,13.25
2020-10-16,42.67,57.94,48.37,31.8,26.21,11.55,17.76,10.85,14.23
2020-10-17,43.41,60.49,51.06,33.42,28.09,12.37,19.19,11.75,14.72
2020-10-18,44.04,62.58,52.92,34.37,29.67,13.21,20.36,12.63,16.01
2020-10-19,44.36,63.77,55.03,36.42,30.94,13.56,21.09,13.37,17.55
2020-10-20,44.14,64.92,56.45,38.05,31.94,14.32,21.65,14.1,18.45
2020-10-21,44.43,64.53,56.14,38.79,32.7,14.53,22.17,14.57,18.82
2020-10-22,44.54,64.68,55.97,39.95,33.65,14.49,22.16,14.9,19.62
2020-10-23,44.04,63.48,56.03,39.87,34.69,14.74,22.47,15.61,20.16
2020-10-24,42.66,62.21,56.07,39.65,35.07,14.38,22.1,15.78,20.88
2020-10-25,40.87,60.46,56.3,39.73,35.82,14.32,21.48,15.75,20.91
2020-10-26,40.31,60.0,56.7,39.66,36.72,14.26,21.22,16.16,21.25
2020-10-27,41.23,59.79,57.97,40.31,38.06,14.27,21.0,16.57,21.51
2020-10-28,41.35,59.31,58.94,40.44,39.01,14.56,20.93,16.74,21.67
