date,Cases,Recent
2020-09-01,,
2020-09-02,,
2020-09-03,,
2020-09-04,,
2020-09-05,,
2020-09-06,,
2020-09-07,52.0,
2020-09-08,59.0,
2020-09-09,57.0,
2020-09-10,60.0,
2020-09-11,62.0,
2020-09-12,65.0,
2020-09-13,72.0,
2020-09-14,71.0,
2020-09-15,93.0,
2020-09-16,114.0,
2020-09-17,127.0,
2020-09-18,136.0,
2020-09-19,139.0,
2020-09-20,164.0,
2020-09-21,173.0,
2020-09-22,153.0,
2020-09-23,153.0,
2020-09-24,151.0,
2020-09-25,160.0,
2020-09-26,178.0,
2020-09-27,186.0,
2020-09-28,210.0,
2020-09-29,236.0,
2020-09-30,255.0,
2020-10-01,307.0,
2020-10-02,355.0,
2020-10-03,394.0,
2020-10-04,422.0,
2020-10-05,454.0,
2020-10-06,505.0,
2020-10-07,570.0,
2020-10-08,598.0,
2020-10-09,604.0,
2020-10-10,647.0,
2020-10-11,663.0,
2020-10-12,707.0,
2020-10-13,763.0,
2020-10-14,832.0,
2020-10-15,877.0,
2020-10-16,961.0,
2020-10-17,999.0,
2020-10-18,1080.0,
2020-10-19,1226.0,
2020-10-20,1366.0,
2020-10-21,1500.0,
2020-10-22,1584.0,
2020-10-23,1656.0,
2020-10-24,1700.0,
2020-10-25,1731.0,
2020-10-26,1792.0,
2020-10-27,1784.0,
2020-10-28,1723.0,
2020-10-29,1711.0,
2020-10-30,1671.0,
2020-10-31,1658.0,
2020-11-01,1648.0,
2020-11-02,1639.0,
2020-11-03,1616.0,
2020-11-04,1565.0,
2020-11-05,1516.0,
2020-11-06,1493.0,
2020-11-07,1434.0,
2020-11-08,1367.0,
2020-11-09,1273.0,
2020-11-10,1203.0,
2020-11-11,1186.0,
2020-11-12,1166.0,
2020-11-13,1138.0,
2020-11-14,1113.0,
2020-11-15,1061.0,
2020-11-16,980.0,
2020-11-17,957.0,
2020-11-18,893.0,
2020-11-19,848.0,
2020-11-20,791.0,
2020-11-21,764.0,
2020-11-22,773.0,
2020-11-23,723.0,
2020-11-24,691.0,
2020-11-25,666.0,
2020-11-26,632.0,
2020-11-27,634.0,
2020-11-28,623.0,
2020-11-29,617.0,
2020-11-30,651.0,
2020-12-01,636.0,
2020-12-02,640.0,
2020-12-03,671.0,
2020-12-04,656.0,
2020-12-05,669.0,
2020-12-06,647.0,
2020-12-07,615.0,
2020-12-08,589.0,
2020-12-09,597.0,
2020-12-10,581.0,
2020-12-11,602.0,
2020-12-12,594.0,
2020-12-13,623.0,
2020-12-14,665.0,
2020-12-15,695.0,
2020-12-16,656.0,
2020-12-17,649.0,
2020-12-18,667.0,
2020-12-19,666.0,
2020-12-20,697.0,
2020-12-21,686.0,
2020-12-22,681.0,
2020-12-23,718.0,
2020-12-24,717.0,
2020-12-25,632.0,
2020-12-26,694.0,
2020-12-27,738.0,
2020-12-28,750.0,
2020-12-29,866.0,
2020-12-30,925.0,
2020-12-31,986.0,
2021-01-01,1031.0,
2021-01-02,1084.0,
2021-01-03,1057.0,
2021-01-04,1114.0,
2021-01-05,1036.0,
2021-01-06,1021.0,
2021-01-07,1046.0,
2021-01-08,1135.0,
2021-01-09,1081.0,
2021-01-10,1064.0,
2021-01-11,1017.0,
2021-01-12,1057.0,
2021-01-13,1038.0,
2021-01-14,942.0,
2021-01-15,882.0,
2021-01-16,865.0,
2021-01-17,845.0,
2021-01-18,838.0,
2021-01-19,771.0,
2021-01-20,754.0,
2021-01-21,782.0,
2021-01-22,774.0,
2021-01-23,730.0,
2021-01-24,711.0,
2021-01-25,663.0,
2021-01-26,653.0,
2021-01-27,637.0,
2021-01-28,658.0,
2021-01-29,663.0,
2021-01-30,684.0,
2021-01-31,707.0,
2021-02-01,703.0,
2021-02-02,660.0,
2021-02-03,634.0,
2021-02-04,628.0,
2021-02-05,614.0,
2021-02-06,598.0,
2021-02-07,580.0,
2021-02-08,566.0,
2021-02-09,575.0,
2021-02-10,582.0,
2021-02-11,579.0,
2021-02-12,585.0,
2021-02-13,580.0,
2021-02-14,584.0,
2021-02-15,616.0,
2021-02-16,628.0,
2021-02-17,652.0,
2021-02-18,624.0,
2021-02-19,593.0,
2021-02-20,585.0,
2021-02-21,565.0,
2021-02-22,556.0,
2021-02-23,547.0,
2021-02-24,523.0,
2021-02-25,480.0,
2021-02-26,462.0,
2021-02-27,440.0,
2021-02-28,414.0,
2021-03-01,368.0,
2021-03-02,325.0,
2021-03-03,314.0,
2021-03-04,311.0,
2021-03-05,311.0,
2021-03-06,298.0,
2021-03-07,300.0,
2021-03-08,295.0,
2021-03-09,319.0,
2021-03-10,306.0,
2021-03-11,324.0,
2021-03-12,339.0,
2021-03-13,352.0,
2021-03-14,345.0,
2021-03-15,360.0,
2021-03-16,348.0,
2021-03-17,351.0,
2021-03-18,381.0,
2021-03-19,381.0,
2021-03-20,378.0,
2021-03-21,444.0,
2021-03-22,440.0,
2021-03-23,441.0,
