date,Cases,Recent
2020-09-01,,
2020-09-02,,
2020-09-03,,
2020-09-04,,
2020-09-05,,
2020-09-06,,
2020-09-07,52.0,
2020-09-08,59.0,
2020-09-09,57.0,
2020-09-10,60.0,
2020-09-11,62.0,
2020-09-12,65.0,
2020-09-13,72.0,
2020-09-14,71.0,
2020-09-15,93.0,
2020-09-16,114.0,
2020-09-17,127.0,
2020-09-18,136.0,
2020-09-19,139.0,
2020-09-20,164.0,
2020-09-21,173.0,
2020-09-22,153.0,
2020-09-23,153.0,
2020-09-24,151.0,
2020-09-25,160.0,
2020-09-26,178.0,
2020-09-27,186.0,
2020-09-28,210.0,
2020-09-29,236.0,
2020-09-30,255.0,
2020-10-01,308.0,
2020-10-02,356.0,
2020-10-03,394.0,
2020-10-04,422.0,
2020-10-05,454.0,
2020-10-06,505.0,
2020-10-07,570.0,
2020-10-08,597.0,
2020-10-09,603.0,
2020-10-10,648.0,
2020-10-11,665.0,
2020-10-12,709.0,
2020-10-13,765.0,
2020-10-14,835.0,
2020-10-15,880.0,
2020-10-16,964.0,
2020-10-17,1001.0,
2020-10-18,1081.0,
2020-10-19,1227.0,
2020-10-20,1367.0,
2020-10-21,1500.0,
2020-10-22,1585.0,
2020-10-23,1658.0,
2020-10-24,1702.0,
2020-10-25,1734.0,
2020-10-26,1795.0,
2020-10-27,1787.0,
2020-10-28,1726.0,
2020-10-29,1712.0,
2020-10-30,1670.0,
2020-10-31,1658.0,
2020-11-01,1647.0,
2020-11-02,1639.0,
2020-11-03,1616.0,
2020-11-04,1565.0,
2020-11-05,1517.0,
2020-11-06,1495.0,
2020-11-07,1435.0,
2020-11-08,1368.0,
2020-11-09,1273.0,
2020-11-10,1203.0,
2020-11-11,1186.0,
2020-11-12,1166.0,
2020-11-13,1138.0,
2020-11-14,1113.0,
2020-11-15,1061.0,
2020-11-16,981.0,
2020-11-17,957.0,
2020-11-18,893.0,
2020-11-19,848.0,
2020-11-20,790.0,
2020-11-21,763.0,
2020-11-22,772.0,
2020-11-23,721.0,
2020-11-24,690.0,
2020-11-25,665.0,
2020-11-26,631.0,
2020-11-27,634.0,
2020-11-28,623.0,
2020-11-29,617.0,
2020-11-30,651.0,
2020-12-01,636.0,
2020-12-02,640.0,
2020-12-03,671.0,
2020-12-04,656.0,
2020-12-05,669.0,
2020-12-06,647.0,
2020-12-07,615.0,
2020-12-08,589.0,
2020-12-09,597.0,
2020-12-10,581.0,
2020-12-11,602.0,
2020-12-12,592.0,
2020-12-13,621.0,
2020-12-14,663.0,
2020-12-15,693.0,
2020-12-16,654.0,
2020-12-17,647.0,
2020-12-18,665.0,
2020-12-19,666.0,
2020-12-20,697.0,
2020-12-21,686.0,
2020-12-22,681.0,
2020-12-23,718.0,
2020-12-24,717.0,
2020-12-25,632.0,
2020-12-26,694.0,
2020-12-27,738.0,
2020-12-28,750.0,
2020-12-29,866.0,
2020-12-30,925.0,
2020-12-31,986.0,
2021-01-01,1031.0,
2021-01-02,1084.0,
2021-01-03,1056.0,
2021-01-04,1113.0,
2021-01-05,1035.0,
2021-01-06,1020.0,
2021-01-07,1045.0,
2021-01-08,1134.0,
2021-01-09,1080.0,
2021-01-10,1064.0,
2021-01-11,1017.0,
2021-01-12,1057.0,
2021-01-13,1037.0,
2021-01-14,940.0,
2021-01-15,880.0,
2021-01-16,863.0,
2021-01-17,843.0,
2021-01-18,836.0,
2021-01-19,769.0,
2021-01-20,753.0,
2021-01-21,781.0,
2021-01-22,773.0,
2021-01-23,729.0,
2021-01-24,710.0,
2021-01-25,662.0,
2021-01-26,652.0,
2021-01-27,636.0,
2021-01-28,660.0,
2021-01-29,666.0,
2021-01-30,687.0,
2021-01-31,710.0,
2021-02-01,706.0,
2021-02-02,662.0,
2021-02-03,636.0,
2021-02-04,630.0,
2021-02-05,615.0,
2021-02-06,599.0,
2021-02-07,580.0,
2021-02-08,567.0,
2021-02-09,577.0,
2021-02-10,584.0,584.0
2021-02-11,,580.0
2021-02-12,,583.0
2021-02-13,,577.0
2021-02-14,,578.0
2021-02-15,,537.0
