date,Cases,Recent
2020-09-01,,
2020-09-02,,
2020-09-03,,
2020-09-04,,
2020-09-05,,
2020-09-06,,
2020-09-07,80.0,
2020-09-08,73.0,
2020-09-09,83.0,
2020-09-10,78.0,
2020-09-11,84.0,
2020-09-12,87.0,
2020-09-13,90.0,
2020-09-14,94.0,
2020-09-15,114.0,
2020-09-16,124.0,
2020-09-17,160.0,
2020-09-18,185.0,
2020-09-19,202.0,
2020-09-20,210.0,
2020-09-21,223.0,
2020-09-22,250.0,
2020-09-23,290.0,
2020-09-24,317.0,
2020-09-25,349.0,
2020-09-26,395.0,
2020-09-27,449.0,
2020-09-28,537.0,
2020-09-29,581.0,
2020-09-30,647.0,
2020-10-01,679.0,
2020-10-02,744.0,
2020-10-03,772.0,
2020-10-04,802.0,
2020-10-05,816.0,
2020-10-06,844.0,
2020-10-07,836.0,
2020-10-08,833.0,
2020-10-09,805.0,
2020-10-10,789.0,
2020-10-11,775.0,
2020-10-12,761.0,
2020-10-13,738.0,
2020-10-14,694.0,
2020-10-15,666.0,
2020-10-16,640.0,
2020-10-17,612.0,
2020-10-18,565.0,
2020-10-19,524.0,
2020-10-20,511.0,
2020-10-21,493.0,
2020-10-22,509.0,
2020-10-23,499.0,
2020-10-24,475.0,
2020-10-25,490.0,
2020-10-26,493.0,
2020-10-27,473.0,
2020-10-28,494.0,
2020-10-29,449.0,
2020-10-30,430.0,
2020-10-31,441.0,
2020-11-01,437.0,
2020-11-02,420.0,
2020-11-03,419.0,
2020-11-04,401.0,
2020-11-05,419.0,
2020-11-06,435.0,
2020-11-07,443.0,
2020-11-08,446.0,
2020-11-09,450.0,
2020-11-10,460.0,
2020-11-11,478.0,
2020-11-12,479.0,
2020-11-13,460.0,
2020-11-14,457.0,
2020-11-15,440.0,
2020-11-16,470.0,
2020-11-17,464.0,
2020-11-18,453.0,
2020-11-19,472.0,
2020-11-20,487.0,
2020-11-21,458.0,
2020-11-22,479.0,
2020-11-23,454.0,
2020-11-24,459.0,
2020-11-25,440.0,
2020-11-26,400.0,
2020-11-27,392.0,
2020-11-28,404.0,
2020-11-29,373.0,
2020-11-30,341.0,
2020-12-01,335.0,
2020-12-02,346.0,
2020-12-03,382.0,
2020-12-04,366.0,
2020-12-05,382.0,
2020-12-06,417.0,
2020-12-07,451.0,
2020-12-08,473.0,
2020-12-09,494.0,
2020-12-10,511.0,
2020-12-11,541.0,
2020-12-12,573.0,
2020-12-13,569.0,
2020-12-14,597.0,
2020-12-15,635.0,
2020-12-16,644.0,
2020-12-17,659.0,
2020-12-18,665.0,
2020-12-19,662.0,
2020-12-20,681.0,
2020-12-21,698.0,
2020-12-22,705.0,
2020-12-23,768.0,
2020-12-24,764.0,
2020-12-25,736.0,
2020-12-26,748.0,
2020-12-27,802.0,
2020-12-28,851.0,
2020-12-29,989.0,
2020-12-30,1050.0,
2020-12-31,1128.0,
2021-01-01,1162.0,
2021-01-02,1260.0,
2021-01-03,1274.0,
2021-01-04,1252.0,
2021-01-05,1221.0,
2021-01-06,1194.0,
2021-01-07,1190.0,
2021-01-08,1211.0,
2021-01-09,1122.0,
2021-01-10,1070.0,
2021-01-11,1029.0,
2021-01-12,928.0,
2021-01-13,843.0,
2021-01-14,763.0,
2021-01-15,744.0,
2021-01-16,727.0,
2021-01-17,708.0,
2021-01-18,677.0,
2021-01-19,632.0,
2021-01-20,613.0,
2021-01-21,580.0,
2021-01-22,584.0,
2021-01-23,560.0,
2021-01-24,517.0,
2021-01-25,500.0,
2021-01-26,466.0,
2021-01-27,442.0,
2021-01-28,421.0,
2021-01-29,383.0,
2021-01-30,369.0,
2021-01-31,374.0,
2021-02-01,359.0,
2021-02-02,354.0,
2021-02-03,346.0,
2021-02-04,353.0,
2021-02-05,364.0,
2021-02-06,369.0,
2021-02-07,362.0,
2021-02-08,368.0,
2021-02-09,345.0,
2021-02-10,323.0,
2021-02-11,331.0,
2021-02-12,310.0,
2021-02-13,299.0,
2021-02-14,320.0,
2021-02-15,330.0,
2021-02-16,375.0,
2021-02-17,416.0,
2021-02-18,439.0,
2021-02-19,477.0,
2021-02-20,498.0,
2021-02-21,495.0,
2021-02-22,488.0,
2021-02-23,464.0,
2021-02-24,440.0,
2021-02-25,408.0,
2021-02-26,368.0,
2021-02-27,334.0,
2021-02-28,324.0,
2021-03-01,309.0,
2021-03-02,273.0,
2021-03-03,242.0,
2021-03-04,217.0,
2021-03-05,211.0,
2021-03-06,215.0,
2021-03-07,207.0,
2021-03-08,211.0,
2021-03-09,227.0,
2021-03-10,236.0,
2021-03-11,241.0,
2021-03-12,245.0,
2021-03-13,238.0,
2021-03-14,223.0,
2021-03-15,227.0,
2021-03-16,223.0,
2021-03-17,237.0,
2021-03-18,240.0,
2021-03-19,239.0,
2021-03-20,243.0,
2021-03-21,261.0,
2021-03-22,258.0,
2021-03-23,280.0,
2021-03-24,280.0,
2021-03-25,287.0,
2021-03-26,293.0,
