date,Cases,Recent
2020-09-01,,
2020-09-02,,
2020-09-03,,
2020-09-04,,
2020-09-05,,
2020-09-06,,
2020-09-07,126.0,
2020-09-08,144.0,
2020-09-09,147.0,
2020-09-10,147.0,
2020-09-11,148.0,
2020-09-12,143.0,
2020-09-13,138.0,
2020-09-14,134.0,
2020-09-15,141.0,
2020-09-16,152.0,
2020-09-17,178.0,
2020-09-18,180.0,
2020-09-19,218.0,
2020-09-20,256.0,
2020-09-21,245.0,
2020-09-22,261.0,
2020-09-23,272.0,
2020-09-24,284.0,
2020-09-25,317.0,
2020-09-26,313.0,
2020-09-27,310.0,
2020-09-28,362.0,
2020-09-29,391.0,
2020-09-30,452.0,
2020-10-01,500.0,
2020-10-02,544.0,
2020-10-03,588.0,
2020-10-04,616.0,
2020-10-05,688.0,
2020-10-06,745.0,
2020-10-07,750.0,
2020-10-08,782.0,
2020-10-09,793.0,
2020-10-10,787.0,
2020-10-11,816.0,
2020-10-12,796.0,
2020-10-13,794.0,
2020-10-14,819.0,
2020-10-15,801.0,
2020-10-16,808.0,
2020-10-17,870.0,
2020-10-18,867.0,
2020-10-19,906.0,
2020-10-20,990.0,
2020-10-21,1050.0,
2020-10-22,1096.0,
2020-10-23,1147.0,
2020-10-24,1153.0,
2020-10-25,1186.0,
2020-10-26,1300.0,
2020-10-27,1292.0,
2020-10-28,1288.0,
2020-10-29,1308.0,
2020-10-30,1316.0,
2020-10-31,1292.0,
2020-11-01,1297.0,
2020-11-02,1279.0,
2020-11-03,1247.0,
2020-11-04,1192.0,
2020-11-05,1149.0,
2020-11-06,1101.0,
2020-11-07,1095.0,
2020-11-08,1063.0,
2020-11-09,989.0,
2020-11-10,980.0,
2020-11-11,1006.0,
2020-11-12,1017.0,
2020-11-13,995.0,
2020-11-14,972.0,
2020-11-15,945.0,
2020-11-16,879.0,
2020-11-17,830.0,
2020-11-18,754.0,
2020-11-19,695.0,
2020-11-20,659.0,
2020-11-21,628.0,
2020-11-22,606.0,
2020-11-23,572.0,
2020-11-24,520.0,
2020-11-25,501.0,
2020-11-26,464.0,
2020-11-27,431.0,
2020-11-28,409.0,
2020-11-29,372.0,
2020-11-30,344.0,
2020-12-01,367.0,
2020-12-02,348.0,
2020-12-03,340.0,
2020-12-04,351.0,
2020-12-05,339.0,
2020-12-06,361.0,
2020-12-07,370.0,
2020-12-08,332.0,
2020-12-09,335.0,
2020-12-10,330.0,
2020-12-11,321.0,
2020-12-12,320.0,
2020-12-13,308.0,
2020-12-14,313.0,
2020-12-15,330.0,
2020-12-16,339.0,
2020-12-17,350.0,
2020-12-18,367.0,
2020-12-19,399.0,
2020-12-20,457.0,
2020-12-21,521.0,
2020-12-22,552.0,
2020-12-23,602.0,
2020-12-24,640.0,
2020-12-25,628.0,
2020-12-26,679.0,
2020-12-27,709.0,
2020-12-28,707.0,
2020-12-29,796.0,
2020-12-30,888.0,
2020-12-31,978.0,
2021-01-01,1037.0,
2021-01-02,1123.0,
2021-01-03,1171.0,
2021-01-04,1247.0,
2021-01-05,1262.0,1262.0
2021-01-06,,1229.0
2021-01-07,,1205.0
2021-01-08,,1241.0
2021-01-09,,1125.0
2021-01-10,,976.0
