date,Cases,Recent
2020-09-01,,
2020-09-02,,
2020-09-03,,
2020-09-04,,
2020-09-05,,
2020-09-06,,
2020-09-07,126.0,
2020-09-08,144.0,
2020-09-09,147.0,
2020-09-10,147.0,
2020-09-11,148.0,
2020-09-12,143.0,
2020-09-13,138.0,
2020-09-14,134.0,
2020-09-15,141.0,
2020-09-16,152.0,
2020-09-17,177.0,
2020-09-18,179.0,
2020-09-19,217.0,
2020-09-20,255.0,
2020-09-21,244.0,
2020-09-22,260.0,
2020-09-23,271.0,
2020-09-24,284.0,
2020-09-25,317.0,
2020-09-26,313.0,
2020-09-27,310.0,
2020-09-28,362.0,
2020-09-29,391.0,
2020-09-30,452.0,
2020-10-01,499.0,
2020-10-02,543.0,
2020-10-03,587.0,
2020-10-04,615.0,
2020-10-05,687.0,
2020-10-06,744.0,
2020-10-07,749.0,
2020-10-08,782.0,
2020-10-09,792.0,
2020-10-10,786.0,
2020-10-11,815.0,
2020-10-12,795.0,
2020-10-13,793.0,
2020-10-14,818.0,
2020-10-15,800.0,
2020-10-16,807.0,
2020-10-17,867.0,
2020-10-18,864.0,
2020-10-19,903.0,
2020-10-20,987.0,
2020-10-21,1047.0,
2020-10-22,1093.0,
2020-10-23,1145.0,
2020-10-24,1153.0,
2020-10-25,1186.0,
2020-10-26,1299.0,
2020-10-27,1291.0,
2020-10-28,1287.0,
2020-10-29,1307.0,
2020-10-30,1315.0,
2020-10-31,1291.0,
2020-11-01,1296.0,
2020-11-02,1279.0,
2020-11-03,1247.0,
2020-11-04,1192.0,
2020-11-05,1149.0,
2020-11-06,1101.0,
2020-11-07,1095.0,
2020-11-08,1063.0,
2020-11-09,989.0,
2020-11-10,981.0,
2020-11-11,1008.0,
2020-11-12,1019.0,
2020-11-13,997.0,
2020-11-14,974.0,
2020-11-15,947.0,
2020-11-16,881.0,
2020-11-17,831.0,
2020-11-18,754.0,
2020-11-19,695.0,
2020-11-20,659.0,
2020-11-21,628.0,
2020-11-22,606.0,
2020-11-23,572.0,
2020-11-24,520.0,
2020-11-25,501.0,
2020-11-26,464.0,
2020-11-27,431.0,
2020-11-28,409.0,
2020-11-29,372.0,
2020-11-30,344.0,
2020-12-01,367.0,
2020-12-02,348.0,
2020-12-03,340.0,
2020-12-04,351.0,
2020-12-05,339.0,
2020-12-06,361.0,
2020-12-07,370.0,
2020-12-08,332.0,
2020-12-09,335.0,
2020-12-10,330.0,
2020-12-11,321.0,
2020-12-12,320.0,
2020-12-13,308.0,
2020-12-14,313.0,
2020-12-15,330.0,
2020-12-16,340.0,
2020-12-17,351.0,
2020-12-18,368.0,
2020-12-19,400.0,
2020-12-20,457.0,
2020-12-21,519.0,
2020-12-22,549.0,
2020-12-23,598.0,
2020-12-24,636.0,
2020-12-25,622.0,
2020-12-26,672.0,
2020-12-27,703.0,
2020-12-28,703.0,
2020-12-29,791.0,791.0
2020-12-30,,882.0
2020-12-31,,967.0
2021-01-01,,1023.0
2021-01-02,,1040.0
2021-01-03,,925.0
