,Both Doses %,One Dose %,Unvaccinated %
18-24,11.68,9.100000000000001,79.22
25-29,14.73,12.129999999999999,73.14
30-34,16.87,30.080000000000002,53.05
35-39,20.16,40.0,39.84
40-44,26.55,44.900000000000006,28.549999999999997
45-49,35.96,42.669999999999995,21.370000000000005
50-54,62.74,21.96,15.299999999999997
55-59,69.73,17.849999999999994,12.420000000000002
60-64,81.53,8.260000000000005,10.209999999999994
65-69,88.27,3.660000000000011,8.069999999999993
70-74,92.21,2.0600000000000023,5.730000000000004
75-79,93.41,1.8900000000000006,4.700000000000003
80-84,92.97,2.4399999999999977,4.590000000000003
85-89,92.53,2.8799999999999955,4.590000000000003
90+,90.42,3.450000000000003,6.1299999999999955
