,Both Doses %,One Dose %,Unvaccinated %
18,11.68,9.100000000000001,79.22
25,14.73,12.129999999999999,73.14
30,16.87,30.080000000000002,53.05
35,20.16,40.0,39.84
40,26.55,44.900000000000006,28.549999999999997
45,35.96,42.669999999999995,21.370000000000005
50,62.74,21.96,15.299999999999997
55,69.73,17.849999999999994,12.420000000000002
60,81.53,8.260000000000005,10.209999999999994
65,88.27,3.660000000000011,8.069999999999993
70,92.21,2.0600000000000023,5.730000000000004
75,93.41,1.8900000000000006,4.700000000000003
80,92.97,2.4399999999999977,4.590000000000003
85,92.53,2.8799999999999955,4.590000000000003
90,90.42,3.450000000000003,6.1299999999999955
