,PCCF SDI
2021-01-14,1.33
2021-01-15,1.31
2021-01-16,1.29
2021-01-17,1.27
2021-01-18,1.26
2021-01-19,1.22
2021-01-20,1.22
2021-01-21,1.2
2021-01-22,1.16
2021-01-23,1.11
2021-01-24,1.06
2021-01-25,1.04
2021-01-26,1.02
2021-01-27,1.02
2021-01-28,0.94
2021-01-29,0.92
2021-01-30,0.94
2021-01-31,0.94
2021-02-01,0.93
2021-02-02,0.9
2021-02-03,0.87
2021-02-04,0.87
2021-02-05,0.88
2021-02-06,0.88
2021-02-07,0.87
2021-02-08,0.86
2021-02-09,0.88
2021-02-10,0.91
2021-02-11,0.95
2021-02-12,0.98
2021-02-13,1.02
2021-02-14,1.09
2021-02-15,1.15
2021-02-16,1.18
2021-02-17,1.16
2021-02-18,1.11
2021-02-19,1.1
2021-02-20,1.07
2021-02-21,1.04
2021-02-22,1.0
2021-02-23,0.97
2021-02-24,0.97
2021-02-25,0.96
2021-02-26,0.92
2021-02-27,0.91
2021-02-28,0.88
2021-03-01,0.84
2021-03-02,0.78
2021-03-03,0.77
2021-03-04,0.76
2021-03-05,0.8
2021-03-06,0.87
2021-03-07,0.91
2021-03-08,1.02
2021-03-09,1.09
2021-03-10,1.2
2021-03-11,1.28
2021-03-12,1.33
2021-03-13,1.33
2021-03-14,1.36
2021-03-15,1.38
2021-03-16,1.35
2021-03-17,1.46
2021-03-18,1.55
2021-03-19,1.6
2021-03-20,1.65
2021-03-21,1.68
2021-03-22,1.7
2021-03-23,1.85
2021-03-24,1.88
2021-03-25,2.3
2021-03-26,2.23
2021-03-27,2.19
2021-03-28,2.16
2021-03-29,2.14
2021-03-30,2.08
2021-03-31,2.12
2021-04-01,1.59
2021-04-02,1.6
2021-04-03,1.59
2021-04-04,1.57
2021-04-05,1.57
2021-04-06,1.61
