date,Cases,Recent
2020-09-01,,
2020-09-02,,
2020-09-03,,
2020-09-04,,
2020-09-05,,
2020-09-06,,
2020-09-07,365.0,
2020-09-08,329.0,
2020-09-09,313.0,
2020-09-10,333.0,
2020-09-11,335.0,
2020-09-12,341.0,
2020-09-13,334.0,
2020-09-14,328.0,
2020-09-15,361.0,
2020-09-16,372.0,
2020-09-17,346.0,
2020-09-18,356.0,
2020-09-19,375.0,
2020-09-20,457.0,
2020-09-21,559.0,
2020-09-22,677.0,
2020-09-23,849.0,
2020-09-24,1058.0,
2020-09-25,1176.0,
2020-09-26,1248.0,
2020-09-27,1218.0,
2020-09-28,1212.0,
2020-09-29,1236.0,
2020-09-30,1244.0,
2020-10-01,1215.0,
2020-10-02,1242.0,
2020-10-03,1278.0,
2020-10-04,1368.0,
2020-10-05,1474.0,
2020-10-06,1594.0,
2020-10-07,1686.0,
2020-10-08,1726.0,
2020-10-09,1766.0,
2020-10-10,1795.0,
2020-10-11,1816.0,
2020-10-12,1887.0,
2020-10-13,1854.0,
2020-10-14,1813.0,
2020-10-15,1821.0,
2020-10-16,1856.0,
2020-10-17,1816.0,
2020-10-18,1797.0,
2020-10-19,1771.0,
2020-10-20,1863.0,
2020-10-21,1939.0,
2020-10-22,2008.0,
2020-10-23,2021.0,
2020-10-24,2085.0,
2020-10-25,2097.0,
2020-10-26,2120.0,
2020-10-27,2063.0,
2020-10-28,1988.0,
2020-10-29,1903.0,
2020-10-30,1877.0,
2020-10-31,1800.0,
2020-11-01,1834.0,
2020-11-02,1897.0,
2020-11-03,1909.0,
2020-11-04,1937.0,
2020-11-05,1981.0,
2020-11-06,1977.0,
2020-11-07,2023.0,
2020-11-08,1985.0,
2020-11-09,1910.0,
2020-11-10,1867.0,
2020-11-11,1802.0,
2020-11-12,1784.0,
2020-11-13,1778.0,
2020-11-14,1759.0,
2020-11-15,1721.0,
2020-11-16,1641.0,
2020-11-17,1597.0,
2020-11-18,1570.0,
2020-11-19,1479.0,
2020-11-20,1387.0,
2020-11-21,1360.0,
2020-11-22,1351.0,
2020-11-23,1331.0,
2020-11-24,1257.0,
2020-11-25,1195.0,
2020-11-26,1146.0,
2020-11-27,1097.0,
2020-11-28,1047.0,
2020-11-29,1007.0,
2020-11-30,969.0,
2020-12-01,965.0,
2020-12-02,984.0,
2020-12-03,974.0,
2020-12-04,978.0,
2020-12-05,997.0,
2020-12-06,1004.0,
2020-12-07,969.0,
2020-12-08,969.0,
2020-12-09,925.0,
2020-12-10,933.0,
2020-12-11,955.0,
2020-12-12,946.0,
2020-12-13,930.0,
2020-12-14,950.0,
2020-12-15,919.0,
2020-12-16,935.0,
2020-12-17,928.0,
2020-12-18,936.0,
2020-12-19,931.0,
2020-12-20,952.0,
2020-12-21,977.0,
2020-12-22,1006.0,
2020-12-23,1050.0,
2020-12-24,1081.0,
2020-12-25,1034.0,
2020-12-26,1083.0,
2020-12-27,1224.0,
2020-12-28,1287.0,
2020-12-29,1530.0,
2020-12-30,1736.0,
2020-12-31,1877.0,
2021-01-01,1915.0,
2021-01-02,2023.0,
2021-01-03,2090.0,
2021-01-04,2202.0,
2021-01-05,2284.0,
2021-01-06,2296.0,
2021-01-07,2314.0,
2021-01-08,2513.0,
2021-01-09,2545.0,
2021-01-10,2510.0,
2021-01-11,2521.0,
2021-01-12,2363.0,
2021-01-13,2228.0,
2021-01-14,2155.0,
2021-01-15,2126.0,
2021-01-16,2053.0,
2021-01-17,1957.0,
2021-01-18,1866.0,
2021-01-19,1795.0,
2021-01-20,1789.0,
2021-01-21,1758.0,
2021-01-22,1697.0,
2021-01-23,1630.0,
2021-01-24,1617.0,
2021-01-25,1573.0,
2021-01-26,1501.0,
2021-01-27,1414.0,
2021-01-28,1415.0,
2021-01-29,1329.0,
2021-01-30,1312.0,
2021-01-31,1266.0,
2021-02-01,1230.0,
2021-02-02,1202.0,
2021-02-03,1175.0,
2021-02-04,1111.0,
2021-02-05,1077.0,
2021-02-06,1075.0,
2021-02-07,1047.0,
2021-02-08,1006.0,
2021-02-09,979.0,
2021-02-10,943.0,
2021-02-11,921.0,
2021-02-12,900.0,
2021-02-13,840.0,
2021-02-14,829.0,
2021-02-15,814.0,
2021-02-16,818.0,
2021-02-17,824.0,
2021-02-18,826.0,
2021-02-19,855.0,
2021-02-20,890.0,
2021-02-21,900.0,
2021-02-22,913.0,
2021-02-23,898.0,
2021-02-24,881.0,
2021-02-25,848.0,
2021-02-26,787.0,
2021-02-27,754.0,
2021-02-28,725.0,
2021-03-01,673.0,
2021-03-02,654.0,
2021-03-03,663.0,
2021-03-04,684.0,
2021-03-05,714.0,
2021-03-06,720.0,
2021-03-07,722.0,
2021-03-08,731.0,
2021-03-09,775.0,
2021-03-10,799.0,
2021-03-11,801.0,
2021-03-12,846.0,
2021-03-13,846.0,
2021-03-14,851.0,
2021-03-15,884.0,
2021-03-16,830.0,
2021-03-17,775.0,
