date,Cases,Recent
2020-09-01,,
2020-09-02,,
2020-09-03,,
2020-09-04,,
2020-09-05,,
2020-09-06,,
2020-09-07,113.0,
2020-09-08,125.0,
2020-09-09,131.0,
2020-09-10,139.0,
2020-09-11,149.0,
2020-09-12,156.0,
2020-09-13,164.0,
2020-09-14,176.0,
2020-09-15,193.0,
2020-09-16,211.0,
2020-09-17,260.0,
2020-09-18,293.0,
2020-09-19,311.0,
2020-09-20,348.0,
2020-09-21,379.0,
2020-09-22,429.0,
2020-09-23,493.0,
2020-09-24,505.0,
2020-09-25,545.0,
2020-09-26,591.0,
2020-09-27,622.0,
2020-09-28,678.0,
2020-09-29,734.0,
2020-09-30,781.0,
2020-10-01,852.0,
2020-10-02,903.0,
2020-10-03,935.0,
2020-10-04,991.0,
2020-10-05,1047.0,
2020-10-06,1107.0,
2020-10-07,1204.0,
2020-10-08,1260.0,
2020-10-09,1284.0,
2020-10-10,1289.0,
2020-10-11,1291.0,
2020-10-12,1324.0,
2020-10-13,1289.0,
2020-10-14,1226.0,
2020-10-15,1180.0,
2020-10-16,1174.0,
2020-10-17,1197.0,
2020-10-18,1195.0,
2020-10-19,1220.0,
2020-10-20,1257.0,
2020-10-21,1258.0,
2020-10-22,1251.0,
2020-10-23,1222.0,
2020-10-24,1171.0,
2020-10-25,1148.0,
2020-10-26,1078.0,
2020-10-27,997.0,
2020-10-28,924.0,
2020-10-29,888.0,
2020-10-30,871.0,
2020-10-31,843.0,
2020-11-01,789.0,
2020-11-02,788.0,
2020-11-03,768.0,
2020-11-04,769.0,
2020-11-05,746.0,
2020-11-06,746.0,
2020-11-07,764.0,
2020-11-08,808.0,
2020-11-09,780.0,
2020-11-10,806.0,
2020-11-11,799.0,
2020-11-12,805.0,
2020-11-13,794.0,
2020-11-14,779.0,
2020-11-15,720.0,
2020-11-16,679.0,
2020-11-17,626.0,
2020-11-18,565.0,
2020-11-19,507.0,
2020-11-20,450.0,
2020-11-21,432.0,
2020-11-22,401.0,
2020-11-23,369.0,
2020-11-24,338.0,
2020-11-25,329.0,
2020-11-26,314.0,
2020-11-27,287.0,
2020-11-28,253.0,
2020-11-29,262.0,
2020-11-30,236.0,
2020-12-01,219.0,
2020-12-02,213.0,
2020-12-03,202.0,
2020-12-04,203.0,
2020-12-05,195.0,
2020-12-06,188.0,
2020-12-07,191.0,
2020-12-08,195.0,
2020-12-09,182.0,
2020-12-10,185.0,
2020-12-11,192.0,
2020-12-12,214.0,
2020-12-13,212.0,
2020-12-14,224.0,
2020-12-15,253.0,
2020-12-16,275.0,
2020-12-17,286.0,
2020-12-18,315.0,
2020-12-19,343.0,
2020-12-20,376.0,
2020-12-21,410.0,
2020-12-22,436.0,
2020-12-23,483.0,
2020-12-24,526.0,
2020-12-25,493.0,
2020-12-26,528.0,
2020-12-27,631.0,
2020-12-28,688.0,
2020-12-29,923.0,923.0
2020-12-30,,1139.0
2020-12-31,,1354.0
2021-01-01,,1448.0
2021-01-02,,1638.0
2021-01-03,,1563.0
