Date,London
2020-09-01,
2020-09-02,
2020-09-03,
2020-09-04,3.65
2020-09-05,3.69
2020-09-06,3.71
2020-09-07,3.78
2020-09-08,3.74
2020-09-09,3.68
2020-09-10,3.53
2020-09-11,3.27
2020-09-12,3.15
2020-09-13,3.07
2020-09-14,2.97
2020-09-15,3.05
2020-09-16,3.23
2020-09-17,3.7
2020-09-18,3.91
2020-09-19,4.31
2020-09-20,4.89
2020-09-21,5.33
2020-09-22,5.67
2020-09-23,6.0
2020-09-24,6.19
2020-09-25,6.69
2020-09-26,6.97
2020-09-27,7.5
2020-09-28,8.25
2020-09-29,8.93
2020-09-30,9.32
2020-10-01,9.78
2020-10-02,10.65
2020-10-03,11.39
2020-10-04,12.05
2020-10-05,12.71
2020-10-06,13.2
2020-10-07,13.33
2020-10-08,13.21
2020-10-09,13.66
2020-10-10,14.07
2020-10-11,14.42
2020-10-12,14.81
2020-10-13,15.29
2020-10-14,15.67
2020-10-15,16.55
2020-10-16,17.76
2020-10-17,19.19
2020-10-18,20.36
2020-10-19,21.09
2020-10-20,21.65
2020-10-21,22.17
2020-10-22,22.16
2020-10-23,22.47
2020-10-24,22.1
2020-10-25,21.48
2020-10-26,21.22
2020-10-27,21.0
2020-10-28,20.93
2020-10-29,20.8
2020-10-30,21.4
2020-10-31,21.46
2020-11-01,21.58
2020-11-02,21.71
2020-11-03,22.09
2020-11-04,22.51
2020-11-05,23.39
2020-11-06,23.66
2020-11-07,24.62
2020-11-08,26.0
2020-11-09,27.2
2020-11-10,28.13
2020-11-11,28.56
2020-11-12,28.62
2020-11-13,28.61
2020-11-14,28.34
2020-11-15,27.62
2020-11-16,26.56
2020-11-17,25.63
2020-11-18,24.92
2020-11-19,24.41
2020-11-20,23.32
2020-11-21,22.66
2020-11-22,22.31
2020-11-23,22.13
2020-11-24,22.28
2020-11-25,22.54
2020-11-26,22.81
2020-11-27,23.29
2020-11-28,23.78
2020-11-29,24.65
2020-11-30,25.24
2020-12-01,26.38
2020-12-02,27.39
2020-12-03,28.61
2020-12-04,30.23
2020-12-05,32.22
2020-12-06,34.81
2020-12-07,38.88
2020-12-08,42.94
2020-12-09,46.74
2020-12-10,51.65
2020-12-11,58.91
2020-12-12,
2020-12-13,
2020-12-14,
