,PCCF R-rate,ONS R rate low,ONS R rate mean,ONS R rate high,React R rate low,React R rate mean,React R rate high,SAGE upper,SAGE lower,SAGE mean
2020-06-30,0.76,,,,,,,,,
2020-07-01,0.75,,,,,,,,,
2020-07-02,0.76,,,,,,,,,
2020-07-03,0.77,,,,,,,0.9,0.8,0.8500000000000001
2020-07-04,0.78,,,,,,,,,
2020-07-05,0.79,,,,,,,,,
2020-07-06,0.79,,,,,,,,,
2020-07-07,0.79,,,,,,,,,
2020-07-08,0.79,,,,,,,,,
2020-07-09,0.8,,,,,,,,,
2020-07-10,0.8,,,,,,,1.0,0.8,0.9
2020-07-11,0.77,,,,,,,,,
2020-07-12,0.75,,,,,,,,,
2020-07-13,0.72,,,,,,,,,
2020-07-14,0.7,,,,,,,,,
2020-07-15,0.69,,,,,,,,,
2020-07-16,0.71,1.12,1.17,1.22,,,,,,
2020-07-17,0.76,,,,,,,1.0,0.8,0.9
2020-07-18,0.79,,,,,,,,,
2020-07-19,0.83,,,,,,,,,
2020-07-20,0.87,,,,,,,,,
2020-07-21,0.91,,,,,,,,,
2020-07-22,0.92,,,,,,,,,
2020-07-23,0.93,1.21,1.3,1.39,,,,,,
2020-07-24,0.95,,,,,,,1.0,0.8,0.9
2020-07-25,0.96,,,,,,,,,
2020-07-26,0.97,,,,,,,,,
2020-07-27,0.97,,,,,,,,,
2020-07-28,0.98,,,,,,,,,
2020-07-29,0.98,,,,,,,,,
2020-07-30,0.97,0.49,0.72,0.96,,,,,,
2020-07-31,0.95,,,,,,,1.0,0.8,0.9
2020-08-01,0.95,,,,,,,,,
2020-08-02,0.95,,,,0.9,1.3,1.8,,,
2020-08-03,0.94,,,,,,,,,
2020-08-04,0.94,,,,,,,,,
2020-08-05,0.93,,,,,,,,,
2020-08-06,0.96,0.94,1.0,1.06,,,,,,
2020-08-07,0.97,,,,,,,1.0,0.8,0.9
2020-08-08,1.01,,,,,,,,,
2020-08-09,1.02,,,,,,,,,
2020-08-10,1.05,0.54,0.71,0.88,,,,,,
2020-08-11,1.09,,,,,,,,,
2020-08-12,1.1,,,,,,,,,
2020-08-13,1.07,,,,,,,,,
2020-08-14,1.05,,,,,,,1.0,0.8,0.9
2020-08-15,1.03,,,,,,,,,
2020-08-16,1.01,,,,,,,,,
2020-08-17,1.0,1.11,1.16,1.22,,,,,,
2020-08-18,0.97,,,,,,,,,
2020-08-19,0.98,,,,,,,,,
2020-08-20,0.99,,,,,,,,,
2020-08-21,1.0,,,,,,,1.0,0.9,0.95
2020-08-22,1.01,,,,,,,,,
2020-08-23,1.02,,,,,,,,,
2020-08-24,1.03,1.26,1.35,1.44,,,,,,
2020-08-25,1.05,,,,,,,,,
2020-08-26,1.04,,,,,,,,,
2020-08-27,1.11,,,,,,,,,
2020-08-28,1.16,,,,,,,1.1,0.9,1.0
2020-08-29,1.19,,,,,,,,,
2020-08-30,1.23,,,,1.4,1.7,2.0,,,
2020-08-31,1.26,,,,,,,,,
2020-09-01,1.28,,,,,,,,,
